assessment_type,assessment_id,parameter_name,parameter_default_value,parameter_display_name,parameter_type
ibm-cloud-rule,rule-d42bbc4b-932f-4ffe-9b2b-8d64fe9cf63f,public_gateway_permitted_zones,"['us-south-1', 'us-south-2', 'us-south-3', 'us-east-1', 'us-east-2', 'us-east-3', 'au-syd-1', 'au-syd-2', 'au-syd-3', 'eu-de-1', 'eu-de-2', 'eu-de-3', 'eu-gb-1', 'eu-gb-2']",IBM Cloud Public Gateway permitted zones,string_list
ibm-cloud-rule,rule-0f7e7e60-a05c-43a7-be74-70615f14a342,dns_port,53,Security group rule for allowed port numbers to DNS,numeric
ibm-cloud-rule,rule-ce6dff83-7280-4d25-a032-e5ff893e2fce,exclude_load_balancers,"['public-access-load-balancer', 'public-access-edge-node-load-balancer']",Exclude Application Load Balancers that have public access,string_list
ibm-cloud-rule,rule-857646d8-23b8-4495-82a4-295ab399266e,number_of_vpcs,1,At least one VPC created,numeric
ibm-cloud-rule,rule-8c28c15e-c38f-410a-a883-a5f22a839176,number_of_transit_gateways,1,Number of transit gateways,numeric
ibm-cloud-rule,rule-9eb7b514-5c27-43ba-83fc-26d75e0bf695,check_enforced,"['cbr', 'service']",check for cbr enforcement,string_list
ibm-cloud-rule,rule-ac203dbc-ff0d-49f7-bf11-c08af429cb86,allowed_ip,['192.168.1.0/24'],IP allowlist for COS,ip_list
ibm-cloud-rule,rule-315c8bb3-3eb8-4186-85bc-e66d68ba9dd0,check_enforced,"['cbr', 'service']",check for cbr enforcement,string_list
ibm-cloud-rule,rule-762180a3-95e1-462b-a7ca-7995ca0dfb7c,check_enforced,"['cbr', 'service']",check for cbr enforcement,string_list
ibm-cloud-rule,rule-c0314fad-f377-465e-9f16-fa5aa3d5ebbe,vm_nic_count,1,IBM Cloud Network Interfaces count,numeric
ibm-cloud-rule,rule-7cf9deab-b418-4374-9e10-a13d217166bb,exclude_floating_ip_list,['my_f5_server'],Exclude exclude the IP spoofing,string_list
ibm-cloud-rule,rule-898ff49d-1979-4b70-9a79-d303c88dea63,exclude_ip_spoofing_check,['vm-qa-automation-prod'],Exclude interfaces with IP-spoofing from VPC,string_list
ibm-cloud-rule,rule-28271605-31bb-4efa-b0ef-5f51adc77d90,inbound_allowed_list,['0.0.0.0/0'],Enter the IP/CIDR list allowed for VPC inbound,ip_list
ibm-cloud-rule,rule-c981bedc-1526-448c-836c-10b0e3a2b812,outbound_allowed_list,['0.0.0.0/0'],Enter the IP/CIDR list allowed for VPC Outbound,ip_list
ibm-cloud-rule,rule-c92a1ac3-6f9a-4fb1-9cb8-57d312679020,excluded_subnets,"['dummy-subnet-1', 'dummy-subnet-2']",Subnet(s) name,string_list
ibm-cloud-rule,rule-56c515ef-4d2b-42e2-aa62-df4b37eab801,check_enforced,"['cbr', 'service']",check for cbr enforcement,string_list
ibm-cloud-rule,rule-c9dfee2f-6283-43ce-9337-4eaacaa3313c,check_enforced,"['cbr', 'service']",check for cbr enforcement,string_list
ibm-cloud-rule,rule-c26980c7-5fae-47b7-ad2a-e96e87cf28fc,check_enforced,"['cbr', 'service']",check for cbr enforcement,string_list
ibm-cloud-rule,rule-df5ef7fa-0ded-4f18-9555-02c399227693,lockout_policy_config_minutes,15,Lockout duration policy setting in minutes,numeric
ibm-cloud-rule,rule-a637949b-7e51-46c4-afd4-b96619001bf1,session_invalidation_in_seconds,7200,Sign out due to inactivity in seconds,numeric
ibm-cloud-rule,rule-51e15d43-3946-4898-b593-02e16a988d8e,scan_interval_max,3,Maximum number of days between vulnerability scans,numeric
ibm-cloud-rule,rule-e208d1c0-8ede-49f0-b4a3-4da3da738733,allowed_tool_integration_services,"['artifactory', 'customtool', 'draservicebroker', 'githubconsolidated', 'gitlab', 'hashicorpvault', 'hostedgit', 'keyprotect', 'pagerduty', 'pipeline', 'private_worker', 'saucelabs', 'secretsmanager', 'security_compliance', 'slack', 'sonarqube']",List of allowed tool integration services for toolchains,string_list
ibm-cloud-rule,rule-3617cc3c-f6a5-44a5-806b-e929bbd664ba,openshift_versions,"['4.10', '4.11']",Custom support openshift versions,string_list
ibm-cloud-rule,rule-153b7f10-d8a8-43a2-8696-731de7790f06,defined_images,"['ibm-ubuntu-20-04-minimal-amd64-2', 'ibm-debian-10-0-minimal-amd64-1', 'ibm-sles-15-1-amd64-sap-hana-1', 'ibm-sles-15-1-amd64-sap-applications-1', 'ibm-redhat-8-1-minimal-amd64-1', 'ibm-centos-8-2-minimal-amd64-2', 'ibm-windows-server-2019-full-standard-amd64-1', 'ibm-ubuntu-18-04-1-minimal-amd64-2', 'ibm-debian-9-12-minimal-amd64-2']",VPC provisioned from list of customer-defined images,string_list
ibm-cloud-rule,rule-574143f9-befe-4da1-a15e-af9437ed9ae7,fs_cloud_regions,"['au-syd', 'br-sao', 'ca-tor', 'eu-de', 'eu-gb', 'jp-osa', 'jp-tok', 'us-east', 'us-south']",Hyper Protect Crypto Services regions,string_list
ibm-cloud-rule,rule-f47c1c7d-cead-4f21-aa71-4fe7a307ae9b,vpc_min_zones,3,Minimum number of VPC zones,numeric
ibm-cloud-rule,rule-0be41446-a0e7-46fb-8cbb-37bf413e0286,loadbalancer_min_lb_zones,3,Minimal number of loadbalancer zones,numeric
ibm-cloud-rule,rule-c0f15737-b451-44d0-a0b6-649013a155bc,number_of_direct_links,2,Number of Direct Links,numeric
ibm-cloud-rule,rule-064d9004-8728-4988-b19a-1805710466f6,hpcs_crypto_units,"['2', '3']",Number of IBM Cloud Hyper Protect Crypto Service units,string_list
ibm-cloud-rule,rule-d8d13c3e-5ca0-46c5-a055-2475852c4ec6,no_pre_shared_key_characters,24,Enough characters in pre-shared key,numeric
ibm-cloud-rule,rule-250c3e07-0d2d-48c6-9de6-cbf5ba0d22ed,min_hours_change_password,0,Mininum number of hours between App ID password changes,numeric
ibm-cloud-rule,rule-caf5e45d-ccc8-4e35-b124-e1b4c8bcab71,hpcs_rotation_policy,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",Hyper Protect Crypto Services key rotation policy,string_list
ibm-cloud-rule,rule-88ff070b-3a8d-4d66-a943-3b2fa28630ea,arbitrary_secret_min_rotation_period,90,Minimum rotation period of Secrets Manager arbitrary secrets,numeric
ibm-cloud-rule,rule-28e20137-3350-4d51-9abc-4dae8fee9e04,user_credential_min_rotation_period,90,Minimum rotation period of Secrets Manager user credentials,numeric
ibm-cloud-rule,rule-846058ff-dbf1-4ab6-864f-1be009618759,session_expiration_in_seconds,86400,Session expiration in seconds for the account,numeric
ibm-cloud-rule,rule-91734f9f-b8ff-4bfd-afb3-db4f789ac38f,access_tokens_expiration_minutes,120,Expiration in minutes of App ID access tokens,numeric
ibm-cloud-rule,rule-a8a69cd6-a902-4144-b652-8be68600a029,diffie_hellman_group,14,Diffie-Hellman group number set,numeric